EventCode,group_policy_group,group_policy_option
4956,Policy Change,Audit MPSSVC Rule-Level Policy Change
4957,Policy Change,Audit MPSSVC Rule-Level Policy Change
4958,Policy Change,Audit MPSSVC Rule-Level Policy Change
4670,Policy Change,Audit Other Policy Change Events
4909,Policy Change,Audit Other Policy Change Events
4910,Policy Change,Audit Other Policy Change Events
5063,Policy Change,Audit Other Policy Change Events
5064,Policy Change,Audit Other Policy Change Events
5065,Policy Change,Audit Other Policy Change Events
5066,Policy Change,Audit Other Policy Change Events
5067,Policy Change,Audit Other Policy Change Events
5068,Policy Change,Audit Other Policy Change Events
5069,Policy Change,Audit Other Policy Change Events
5070,Policy Change,Audit Other Policy Change Events
5447,Policy Change,Audit Other Policy Change Events
6144,Policy Change,Audit Other Policy Change Events
6145,Policy Change,Audit Other Policy Change Events
4665,Object Access,Audit Application Generated
4666,Object Access,Audit Application Generated
4667,Object Access,Audit Application Generated
4668,Object Access,Audit Application Generated
4868,Object Access,Audit Certification Services
4869,Object Access,Audit Certification Services
4870,Object Access,Audit Certification Services
4871,Object Access,Audit Certification Services
4872,Object Access,Audit Certification Services
4873,Object Access,Audit Certification Services
4874,Object Access,Audit Certification Services
4875,Object Access,Audit Certification Services
4876,Object Access,Audit Certification Services
4877,Object Access,Audit Certification Services
4878,Object Access,Audit Certification Services
4879,Object Access,Audit Certification Services
4880,Object Access,Audit Certification Services
4881,Object Access,Audit Certification Services
4882,Object Access,Audit Certification Services
4883,Object Access,Audit Certification Services
4884,Object Access,Audit Certification Services
4885,Object Access,Audit Certification Services
4886,Object Access,Audit Certification Services
4887,Object Access,Audit Certification Services
4888,Object Access,Audit Certification Services
4889,Object Access,Audit Certification Services
4890,Object Access,Audit Certification Services
4891,Object Access,Audit Certification Services
4892,Object Access,Audit Certification Services
4893,Object Access,Audit Certification Services
4894,Object Access,Audit Certification Services
4895,Object Access,Audit Certification Services
4896,Object Access,Audit Certification Services
4897,Object Access,Audit Certification Services
4898,Object Access,Audit Certification Services
5145,Object Access,Audit Detailed File Share
5140,Object Access,Audit File Share
5142,Object Access,Audit File Share
5143,Object Access,Audit File Share
5144,Object Access,Audit File Share
5168,Object Access,Audit File Share
4664,Object Access,Audit File System
4985,Object Access,Audit File System
5051,Object Access,Audit File System
5031,Object Access,Audit Filtering Platform Connection
5140,Object Access,Audit Filtering Platform Connection
5150,Object Access,Audit Filtering Platform Connection
5151,Object Access,Audit Filtering Platform Connection
5154,Object Access,Audit Filtering Platform Connection
5155,Object Access,Audit Filtering Platform Connection
5156,Object Access,Audit Filtering Platform Connection
